consignmentReferences.lrn|42A.D026
goodsItemQuantity|42A.228
items.$1|42A.67A.68A.$1
items.$1.additionalDocuments.documents.$2|42A.67A.68A.$1.02A.$2
items.$1.additionalFiscalReferencesData.references.$2|42A.67A.68A.$1.55B.$2
items.$1.additionalInformation.items.$2|42A.67A.68A.$1.03A.$2
items.$1.commodityDetails.combinedNomenclatureCode|42A.67A.68A.$1.23A
items.$1.commodityDetails.descriptionOfGoods|42A.67A.68A.$1.23A.137
items.$1.commodityMeasure.grossMass|42A.67A.68A.$1.23A.65A.126
items.$1.commodityMeasure.netMass|42A.67A.68A.$1.23A.65A.128
items.$1.commodityMeasure.supplementaryUnits|42A.67A.68A.$1.23A.65A.130
items.$1.nactCode.$2|42A.67A.68A.$1.23A
items.$1.taricCode.$2|42A.67A.68A.$1.23A
items.$1.cusCode|42A.67A.68A.$1.23A
items.$1.dangerousGoodsCode.dangerousGoodsCode|42A.67A.68A.$1.23A.12C.506
items.$1.packageInformation.$2|42A.67A.68A.$1.93A.$2
items.$1.packageInformation.$2.numberOfPackages|42A.67A.68A.$1.93A.$2.144
items.$1.packageInformation.$2.shippingMarks|42A.67A.68A.$1.93A.$2.142
items.$1.packageInformation.$2.typesOfPackages|42A.67A.68A.$1.93A.$2.141
items.$1.procedureCodes.procedure.code|42A.67A.68A.$1
items.$1.procedureCodes.procedure.code|42A.67A.68A.$1
items.$1.procedureCodes.additionalProcedureCodes.$2|42A.67A.68A.$1
items.$1.statisticalValue.statisticalValue|42A.67A.68A.$1.114
locations.destinationCountry.code|42A.67A.99B.465
locations.goodsLocation.country|42A.67A.28A.64A.L016
locations.goodsLocation.identificationOfLocation|42A.67A.28A.64A.L017
locations.goodsLocation.typeOfLocation|42A.67A.28A.64A.L110
locations.inlandModeOfTransportCode.inlandModeOfTransportCode|42A.67A.28A.46A.T021
locations.officeOfExit.officeId|42A.56A.G005
locations.originationCountry.code|42A.67A.95B.062
locations.routingCountries.$1|42A.28A.62A.$1
locations.warehouseIdentification.identificationNumber|42A.67A.43B.L019
locations.warehouseIdentification.identificationNumber|42A.67A.43B.L112
mucr|42A.67A.99A.#1.171
mucr|42A.67A.99A.#1.D018
mucr|42A.67A.99A.#1.D019
mucr|42A.67A.99A.#1.D031
natureOfTransaction.natureType|42A.67A.103
parties.actors.declarationAdditionalActorsData.$1|42A.67A.16C.$1
parties.carrierDetails|42A.28A.18A.04A
parties.carrierDetails|42A.28A.18A.R011
parties.carrierDetails|42A.28A.18A.R012
parties.carrierDetails.address|42A.28A.18A.04A
parties.carrierDetails.address|42A.28A.18A.R011
parties.carrierDetails.address.addressLine|42A.28A.18A.04A.239
parties.carrierDetails.address.country|42A.28A.18A.04A.242
parties.carrierDetails.address.fullName|42A.28A.18A.R011
parties.carrierDetails.address.postCode|42A.28A.18A.04A.245
parties.carrierDetails.address.townOrCity|42A.28A.18A.04A.241
parties.carrierDetails.eori|42A.28A.18A.R012
parties.consigneeDetails.address|42A.67A.27A.04A
parties.consigneeDetails.address|42A.67A.27A.R014
parties.consigneeDetails.address.addressLine|42A.67A.27A.04A.239
parties.consigneeDetails.address.country|42A.67A.27A.04A.242
parties.consigneeDetails.address.fullName|42A.67A.27A.R014
parties.consigneeDetails.address.postCode|42A.67A.27A.04A.245
parties.consigneeDetails.address.townOrCity|42A.67A.27A.04A.241
parties.consignorDetails|42A.28A.30A.04A
parties.consignorDetails|42A.28A.30A.R020
parties.consignorDetails|42A.28A.30A.R021
parties.consignorDetails.address|42A.28A.30A.04A
parties.consignorDetails.address|42A.28A.30A.R020
parties.consignorDetails.address.addressLine|42A.28A.30A.04A.239
parties.consignorDetails.address.country|42A.28A.30A.04A.242
parties.consignorDetails.address.fullName|42A.28A.30A.R020
parties.consignorDetails.address.postCode|42A.28A.30A.04A.245
parties.consignorDetails.address.townOrCity|42A.28A.30A.04A.241
parties.consignorDetails.eori|42A.28A.30A.R021
parties.declarationAdditionalActorsData.actors.$1|42A.67A.16C.$1
parties.declarationHoldersData.holders.$1|42A.17C.$1
parties.exporterDetails|42A.57A.04A
parties.exporterDetails|42A.57A.R031
parties.exporterDetails|42A.57A.R032
parties.exporterDetails.details.address|42A.57A.04A
parties.exporterDetails.details.address|42A.57A.R031
parties.exporterDetails.details.address.addressLine|42A.57A.04A.239
parties.exporterDetails.details.address.country|42A.57A.04A.242
parties.exporterDetails.details.address.fullName|42A.57A.R031
parties.exporterDetails.details.address.postCode|42A.57A.04A.245
parties.exporterDetails.details.address.townOrCity|42A.57A.04A.241
parties.exporterDetails.details.eori|42A.57A.R032
parties.personPresentingGoodsDetails.eori|42A.57B.R123
parties.personPresentingGoodsDetails|42A.57B.R123
parties.representativeDetails|42A.05A
parties.representativeDetails.details|42A.05A
parties.representativeDetails.details.eori|42A.05A.R004
parties.representativeDetails.statusCode|42A.05A.102
previousDocuments.documents.$1|42A.67A.99A.$1
totalNumberOfItems.exchangeRate|42A.40A.118
totalNumberOfItems.totalAmountInvoiced|42A.109
totalNumberOfItems.totalAmountInvoicedCurrency|42A.109
totalNumberOfItems.totalPackage|42A.146
transport.borderModeOfTransportCode.code|42A.15A.T022
transport.containers|42A.67A.28A.096
transport.containers.$1|42A.67A.28A.31B.$1
transport.containers.$1.seals.$2|42A.67A.28A.31B.$1.44B.$2
transport.expressConsignment|42A.504
transport.meansOfTransportCrossingTheBorderIDNumber|42A.15A.T006
transport.meansOfTransportCrossingTheBorderNationality|42A.15A.T014
transport.meansOfTransportCrossingTheBorderType|42A.15A.T018
transport.meansOfTransportOnDepartureIDNumber|42A.67A.28A.46A.T002
transport.meansOfTransportOnDepartureType|42A.67A.28A.46A.T029
transport.transportPayment.paymentMethod|42A.28A.62A.098
type|42A.D013
